subdistrict_id,subdistrict_name,district_id_id
673,Atru,89
674,Kishanganj,89
675,Shahbad,89
676,Chhabra,89
677,Chhipabarod,89
678,Khanpur,105
679,Jhalrapatan,105
680,Aklera,105
681,Manohar Thana,105
682,Pachpahar,105
683,Pirawa,105
684,Gangdhar,105
685,Mavli,117
686,Gogunda,117
687,Kotra,117
688,Jhadol,117
689,Girwa,117
690,Vallabhnagar,117
691,Lasadiya,117
692,Salumbar,117
693,Sarada,117
694,Rishabhdeo,117
695,Kherwara,117
696,Dhariawad,629
697,Peepalkhoont,629
698,Chhoti Sadri,629
699,Pratapgarh,629
700,Arnod,629
701,Behat,177
702,Saharanpur,177
703,Nakur,177
704,Deoband,177
705,Rampur Maniharan,177
706,Kairana,660
707,Shamli,660
708,Muzaffarnagar,172
709,Budhana,172
710,Khatauli,172
711,Jansath,172
712,Najibabad,132
713,Bijnor,132
714,Nagina,132
715,Dhampur,132
716,Chandpur,132
717,Thakurdwara,171
718,Kanth,171
719,Moradabad,171
720,Bilari,171
721,Sambhal,659
722,Chandausi,659
723,Suar,176
724,Tanda,176
725,Bilaspur,176
726,Rampur,176
727,Shahabad,176
728,Milak,176
729,Dhanaura,154
730,Amroha,154
731,Hasanpur,154
732,Sardhana,169
733,Mawana,169
734,Meerut,169
735,Baraut,124
736,Baghpat,124
737,Khekada,124
738,Modinagar,145
739,Ghaziabad,145
740,Hapur,661
741,Garhmukteshwar,661
742,Dadri,144
743,Gautam Buddha Nagar,144
744,Jewar,144
745,Sikandrabad,134
746,Bulandshahr,134
747,Siana,134
748,Anupshahr,134
749,Debai,134
750,Shikarpur,134
751,Khurja,134
752,Khair,119
753,Gabhana,119
754,Atrauli,119
755,Koil,119
756,Iglas,119
757,Sasni,163
758,Sikandra Rao,163
759,Hathras,163
760,Sadabad,163
761,Chhata,167
762,Mat,167
763,Mahavan,167
764,Mathura,167
765,Etmadpur,118
766,Agra,118
767,Kiraoli,118
768,Kheragarh,118
769,Fatehabad,118
770,Bah,118
771,Tundla,143
772,Firozabad,143
773,Jasrana,143
774,Shikohabad,143
775,Mainpuri,166
776,Karhal,166
777,Bhogaon,166
778,Gunnaur,659
779,Bisauli,133
780,Bilsi,133
781,Sahaswan,133
782,Budaun,133
783,Dataganj,133
784,Baheri,130
785,Meerganj,130
786,Aonla,130
787,Bareilly,130
788,Nawabganj,130
789,Faridpur,130
790,Pilibhit,173
791,Bisalpur,173
792,Puranpur,173
793,Powayan,180
794,Tilhar,180
795,Shahjahanpur,180
796,Jalalabad,180
797,Nighasan,159
798,Palia,159
799,Gola Gokaran Nath,159
800,Mohammdi,159
801,Lakhimpur,159
802,Dhaurahara,159
803,Misrikh,183
804,Sitapur,183
805,Laharpur,183
