subdistrict,NAME_1,populatiuon,sewage_2055,Subdistric,,,,,,,
Bhadohi,Durjanpur,303,0.0343303,994,,,,,,,
Bhadohi,Bhikari Rampur,3645,0.413377206,994,,,,,,,
Bhadohi,Mudphokra Or Mudphora,808,0.091682097,994,,,,,,,
Bhadohi,Chak Sewa,27,0.003029144,994,,,,,,,
Bhadohi,Serawli,607,0.068862544,994,,,,,,,
Bhadohi,Bhawri,5244,0.59472197,994,,,,,,,
Bhadohi,Siyarha,3072,0.348351578,994,,,,,,,
Bhadohi,Chak Newazi Makanpur,264,0.029887555,994,,,,,,,
Bhadohi,Chak Juirani,2169,0.245966506,994,,,,,,,
Bhadohi,Pargaspur,3795,0.430340413,994,,,,,,,
Bhadohi,Shukulpur,1197,0.135705658,994,,,,,,,
Bhadohi,Dara Patti,2287,0.25929474,994,,,,,,,
Bhadohi,Danupur Patti Purab,2978,0.337648602,994,,,,,,,
Bhadohi,Domanpur Chiwathiya,1398,0.158525211,994,,,,,,,
Bhadohi,Paraspur Bejhawniya,321,0.03634973,994,,,,,,,
Bhadohi,Radai,1013,0.114905535,994,,,,,,,
Bhadohi,Hari Patti Or Hirapatti,2742,0.310992134,994,,,,,,,
Bhadohi,Duhiya Bhan,479,0.054322652,994,,,,,,,
Bhadohi,Nawada Kala,4187,0.474767861,994,,,,,,,
Bhadohi,Narottampur Urf Chamru Patti,1743,0.197702142,994,,,,,,,
Bhadohi,Pratap Singh Patti,684,0.07754609,994,,,,,,,
Bhadohi,Chak Kisun Rai,281,0.031906985,994,,,,,,,
Bhadohi,Abhilouri,1772,0.200933229,994,,,,,,,
Bhadohi,Mardanpur,2203,0.249803422,994,,,,,,,
Bhadohi,Chak Bhawanidas,999,0.113289992,994,,,,,,,
Bhadohi,Chak Baidik,662,0.075122775,994,,,,,,,
Bhadohi,Bhawapur Or Thalapur,776,0.088047123,994,,,,,,,
Bhadohi,Danghar,2388,0.270805488,994,,,,,,,
Bhadohi,Nawtaradud Bardha,554,0.062804256,994,,,,,,,
Bhadohi,Raya,6594,0.747794722,994,,,,,,,
Bhadohi,Piyari,5839,0.662170913,994,,,,,,,
Bhadohi,Sadawpur,2101,0.238292674,994,,,,,,,
Bhadohi,Sikhadi,1250,0.141763947,994,,,,,,,
Bhadohi,Barhiyani,1501,0.170237902,994,,,,,,,
Bhadohi,Ramchandrapur,1688,0.191441911,994,,,,,,,
Bhadohi,Chak Lahra,224,0.025444811,994,,,,,,,
Bhadohi,Ugai Ka Pura,1414,0.160342698,994,,,,,,,
Bhadohi,Chak Harkesh,43,0.00484663,994,,,,,,,
Bhadohi,Raghunathpur,1540,0.174680647,994,,,,,,,
Bhadohi,Mahasingh Patti,1364,0.154688295,994,,,,,,,
Bhadohi,Gonda Jamuna Jati,265,0.030089499,994,,,,,,,
Bhadohi,Kisunapur,678,0.076940262,994,,,,,,,
Bhadohi,Dudwa Dharampuri,3975,0.450736651,994,,,,,,,
Bhadohi,Paraupur,860,0.097538442,994,,,,,,,
Bhadohi,Jamunipur Athagawan,14394,1.632304817,994,,,,,,,
Bhadohi,Kochhiya,3063,0.347341864,994,,,,,,,
Bhadohi,Nagmanpur,4399,0.498799072,994,,,,,,,
Bhadohi,Chak Padri,607,0.068862544,994,,,,,,,
Bhadohi,Patharha,427,0.048466307,994,,,,,,,
Bhadohi,Tal Supaia,921,0.104404502,994,,,,,,,
Bhadohi,Kalipur,2039,0.231224671,994,,,,,,,
Bhadohi,Nayanpur,1585,0.17972922,994,,,,,,,
Bhadohi,Chak Newazi Z. Kochhiya,48,0.005452459,994,,,,,,,
Bhadohi,Pipris,15614,1.770635733,994,,,,,,,
Bhadohi,Basawanpur,137,0.015549607,994,,,,,,,
Bhadohi,Mamdeopur,1218,0.138128973,994,,,,,,,
Bhadohi,Chhitiya Or Chhituna,1163,0.131868742,994,,,,,,,
Bhadohi,Kisunpur Tekari,1615,0.18316225,994,,,,,,,
Bhadohi,Sonhar Mahua Patti,2424,0.274844347,994,,,,,,,
Bhadohi,Anapur,328,0.037157502,994,,,,,,,
Bhadohi,Chak Kumar Jati,963,0.109251132,994,,,,,,,
Bhadohi,Amrauna,1109,0.125810454,994,,,,,,,
Bhadohi,Chak Dhura,0,0,994,,,,,,,
Bhadohi,Marzad Patti,0,0,994,,,,,,,
Bhadohi,Dhaurahra,0,0,994,,,,,,,
Bhadohi,Gulaura,0,0,994,,,,,,,
Bhadohi,Suriyawan (NP),31027,3.518451913,994,,,,,,,
Bhadohi,Chaturbhujpur,296,0.033522528,994,,,,,,,
Bhadohi,Raimalpur,3626,0.411155834,994,,,,,,,
Bhadohi,Rajputan Z.Ravali,739,0.083806322,994,,,,,,,
Bhadohi,Maihardo Patti,4197,0.475979519,994,,,,,,,
Bhadohi,Majhilapur,171,0.019386523,994,,,,,,,
Bhadohi,Chandapur,529,0.059977054,994,,,,,,,
Bhadohi,Jahidpur,3104,0.351986552,994,,,,,,,
Bhadohi,Pachpatiya,2643,0.299683329,994,,,,,,,
Bhadohi,Loh Chanda,183,0.020800123,994,,,,,,,
Bhadohi,Mai,1231,0.139542574,994,,,,,,,
Bhadohi,Bhulaipur,1254,0.142167833,994,,,,,,,
Bhadohi,Arajidibui,249,0.028272012,994,,,,,,,
Bhadohi,Jalalpur,520,0.05896734,994,,,,,,,
Bhadohi,Phatupur Dargah,3047,0.345524377,994,,,,,,,
Bhadohi,Ramdeo Patti,1343,0.15226498,994,,,,,,,
Bhadohi,Bira Patti,3562,0.403885888,994,,,,,,,
Bhadohi,Jadupur Z.Bahri,2466,0.279690977,994,,,,,,,
Bhadohi,Dhuripur,821,0.093095697,994,,,,,,,
Bhadohi,Raveli,1738,0.197096313,994,,,,,,,
Bhadohi,Tilangra,226,0.025646754,994,,,,,,,
Bhadohi,Gurkhuliya,89,0.010097147,994,,,,,,,
Bhadohi,Kuraiya,2178,0.24697622,994,,,,,,,
Bhadohi,Araji Amani,21,0.002423315,994,,,,,,,
Bhadohi,Salimpur,983,0.111472505,994,,,,,,,
Bhadohi,Parsotam Patti,326,0.036955559,994,,,,,,,
Bhadohi,Chak Basawan,12,0.001413601,994,,,,,,,
Bhadohi,Musilahpur Or Musilatpur,14045,1.592723999,994,,,,,,,
Bhadohi,Palheya,2449,0.277671548,994,,,,,,,
Bhadohi,Jagdishpur Sujan,1280,0.145196977,994,,,,,,,
Bhadohi,Basantpur,1024,0.116117193,994,,,,,,,
Bhadohi,Chawar,379,0.043013847,994,,,,,,,
Bhadohi,Rudrapur,737,0.083604378,994,,,,,,,
Bhadohi,Sivdaspur,317,0.035945844,994,,,,,,,
Bhadohi,Chak Holman,1398,0.158525211,994,,,,,,,
Bhadohi,Giriya,1248,0.141562004,994,,,,,,,
Bhadohi,Barwa Khas,5919,0.671258346,994,,,,,,,
Bhadohi,Noorpur,1061,0.120357995,994,,,,,,,
Bhadohi,Pakri Z.Gangapur,52,0.005856346,994,,,,,,,
Bhadohi,Sewapur Or Senabarpura,1720,0.195076884,994,,,,,,,
Bhadohi,Naguwa,1816,0.205981803,994,,,,,,,
Bhadohi,Parsotampur Raveli,1437,0.162967956,994,,,,,,,
Bhadohi,Makdumpur,1451,0.164583499,994,,,,,,,
Bhadohi,Chaudharipur,180,0.020396237,994,,,,,,,
Bhadohi,Newada Khurd,995,0.112886106,994,,,,,,,
Bhadohi,Anangpur,3031,0.343706891,994,,,,,,,
Bhadohi,Gangapur,755,0.085623808,994,,,,,,,
Bhadohi,Chak Hemraj,171,0.019386523,994,,,,,,,
Bhadohi,Pureshyam,112,0.012722406,994,,,,,,,
Bhadohi,Kandhiya,1729,0.196086599,994,,,,,,,
Bhadohi,Himmatpur Bakuchiya,2051,0.232638271,994,,,,,,,
Bhadohi,Sanak Deeh,2605,0.295442527,994,,,,,,,
Bhadohi,Dudawa Kukruthi,5130,0.581797621,994,,,,,,,
Bhadohi,Dattipurz.Bahari,572,0.064823685,994,,,,,,,
Bhadohi,Mahbubpur,2705,0.306751332,994,,,,,,,
Bhadohi,Parsottampur Z.Bargaon,9,0.001009714,994,,,,,,,
Bhadohi,Bahari,1036,0.117530793,994,,,,,,,
Bhadohi,Jallapur,616,0.069872258,994,,,,,,,
Bhadohi,Chaurinipur Patti,940,0.106625875,994,,,,,,,
Bhadohi,Saraiya,1446,0.163977671,994,,,,,,,
Bhadohi,Ahopur,841,0.09531707,994,,,,,,,
Bhadohi,Rajpura,324,0.036753616,994,,,,,,,
Bhadohi,Samalkot,1248,0.141562004,994,,,,,,,
Bhadohi,Asogapur,662,0.075122775,994,,,,,,,
Bhadohi,Ahamadpur Phulwariya,2983,0.338254431,994,,,,,,,
Bhadohi,Chauridanu Patti,3469,0.393384855,994,,,,,,,
Bhadohi,Hari Chandanpur,634,0.071891688,994,,,,,,,
Bhadohi,Jamunipur Badfaros,4482,0.50829039,994,,,,,,,
Bhadohi,Kolahd,4821,0.54665955,994,,,,,,,
Bhadohi,Manikpur,2221,0.251822852,994,,,,,,,
Bhadohi,Manapur,2123,0.240715989,994,,,,,,,
Bhadohi,Ajaypur,1159,0.131464857,994,,,,,,,
Bhadohi,Rawara Paraspur,1300,0.147418349,994,,,,,,,
Bhadohi,Amawa Khurd,4970,0.563622756,994,,,,,,,
Bhadohi,Amawa Kala,3843,0.435792874,994,,,,,,,
Bhadohi,Chak Basuhi,832,0.094307355,994,,,,,,,
Bhadohi,Harirampur,1875,0.21264592,994,,,,,,,
Bhadohi,Kansraipur,2203,0.249803422,994,,,,,,,
Bhadohi,Jhuri Sonbarsa,78,0.00888549,994,,,,,,,
Bhadohi,Ramraipur,3011,0.341485518,994,,,,,,,
Bhadohi,Hariyawan,9249,1.048891651,994,,,,,,,
Bhadohi,Bhikharipur,771,0.087441294,994,,,,,,,
Bhadohi,Lakhanpur Urf Abhayanpur,2199,0.249399536,994,,,,,,,
Bhadohi,Bhakuda,1439,0.163169898,994,,,,,,,
Bhadohi,Chak Bhuidhar,3588,0.406915032,994,,,,,,,
Bhadohi,Maharbha,1093,0.123992968,994,,,,,,,
Bhadohi,Bardha,6577,0.745775292,994,,,,,,,
Bhadohi,Bankat Z.Madho Rampur,536,0.060784826,994,,,,,,,
Bhadohi,Katabana,3273,0.371171131,994,,,,,,,
Bhadohi,Chak Dharni,873,0.098952043,994,,,,,,,
Bhadohi,Raghopur,2748,0.311597962,994,,,,,,,
Bhadohi,Raghupur,906,0.102788959,994,,,,,,,
Bhadohi,Jamua,2876,0.326137855,994,,,,,,,
Bhadohi,Chauri Khas,1355,0.15367858,994,,,,,,,
Bhadohi,Dhanapur,1033,0.117126908,994,,,,,,,
Bhadohi,Deeh Koiran,1312,0.14883195,994,,,,,,,
